timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1758674716790,2025-09-24 09:45:16.790,68:9E:19:03:95:F1,-78,127,1.5,10.0,1.5
1758674717013,2025-09-24 09:45:17.013,68:9E:19:03:95:F1,-90,127,1.5,10.0,1.5
1758674717018,2025-09-24 09:45:17.018,68:9E:19:03:95:84,-93,127,1.5,10.0,1.5
1758674717075,2025-09-24 09:45:17.075,AC:23:3F:26:3E:F2,-58,127,1.5,10.0,1.5
1758674717128,2025-09-24 09:45:17.128,AC:23:3F:26:3E:EF,-56,127,1.5,10.0,1.5
1758674717178,2025-09-24 09:45:17.178,68:9E:19:03:95:F1,-67,127,1.5,10.0,1.5
1758674717181,2025-09-24 09:45:17.181,68:9E:19:03:95:84,-74,127,1.5,10.0,1.5
1758674717186,2025-09-24 09:45:17.186,68:9E:19:03:95:84,-82,127,1.5,10.0,1.5
1758674717191,2025-09-24 09:45:17.191,AC:23:3F:26:3E:EF,-61,127,1.5,10.0,1.5
1758674717195,2025-09-24 09:45:17.195,AC:23:3F:26:3E:EF,-60,127,1.5,10.0,1.5
1758674717198,2025-09-24 09:45:17.198,68:9E:19:03:95:F1,-78,127,1.5,10.0,1.5
1758674717215,2025-09-24 09:45:17.215,68:9E:19:03:95:84,-87,127,1.5,10.0,1.5
1758674717233,2025-09-24 09:45:17.233,AC:23:3F:26:3E:F2,-58,127,1.5,10.0,1.5
1758674717294,2025-09-24 09:45:17.294,68:9E:19:03:95:F1,-69,127,1.5,10.0,1.5
1758674717304,2025-09-24 09:45:17.304,68:9E:19:03:95:84,-73,127,1.5,10.0,1.5
1758674717314,2025-09-24 09:45:17.314,AC:23:3F:26:3E:F1,-86,127,1.5,10.0,1.5
1758674717387,2025-09-24 09:45:17.387,AC:23:3F:26:3E:F1,-80,127,1.5,10.0,1.5
1758674717389,2025-09-24 09:45:17.389,AC:23:3F:26:3E:F2,-56,127,1.5,10.0,1.5
1758674717406,2025-09-24 09:45:17.406,68:9E:19:03:95:84,-80,127,1.5,10.0,1.5
1758674717492,2025-09-24 09:45:17.492,68:9E:19:03:95:F1,-76,127,1.5,10.0,1.5
1758674717509,2025-09-24 09:45:17.509,68:9E:19:03:95:84,-93,127,1.5,10.0,1.5
1758674717598,2025-09-24 09:45:17.598,68:9E:19:03:95:F1,-74,127,1.5,10.0,1.5
1758674717621,2025-09-24 09:45:17.621,68:9E:19:03:95:84,-73,127,1.5,10.0,1.5
1758674717632,2025-09-24 09:45:17.632,AC:23:3F:26:3E:F2,-58,127,1.5,10.0,1.5
1758674717655,2025-09-24 09:45:17.655,AC:23:3F:26:3E:EF,-59,127,1.5,10.0,1.5
1758674717695,2025-09-24 09:45:17.695,68:9E:19:03:95:F1,-76,127,1.5,10.0,1.5
1758674717800,2025-09-24 09:45:17.800,68:9E:19:03:95:F1,-87,127,1.5,10.0,1.5
1758674717843,2025-09-24 09:45:17.843,68:9E:19:03:95:84,-74,127,1.5,10.0,1.5
1758674717846,2025-09-24 09:45:17.846,AC:23:3F:26:3E:EF,-56,127,1.5,10.0,1.5
1758674717859,2025-09-24 09:45:17.859,AC:23:3F:26:3E:EF,-57,127,1.5,10.0,1.5
1758674717900,2025-09-24 09:45:17.900,68:9E:19:03:95:F1,-70,127,1.5,10.0,1.5
1758674717933,2025-09-24 09:45:17.933,68:9E:19:03:95:84,-78,127,1.5,10.0,1.5
1758674717956,2025-09-24 09:45:17.956,AC:23:3F:26:3E:F2,-57,127,1.5,10.0,1.5
1758674718010,2025-09-24 09:45:18.010,68:9E:19:03:95:F1,-75,127,1.5,10.0,1.5
1758674718038,2025-09-24 09:45:18.038,AC:23:3F:26:3E:F1,-72,127,1.5,10.0,1.5
1758674718045,2025-09-24 09:45:18.045,68:9E:19:03:95:84,-90,127,1.5,10.0,1.5
