timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1757927437693,2025-09-15 18:10:37.693,AC:23:3F:26:3E:F1,-81,127,0.5,0.5,1.5
1757927437755,2025-09-15 18:10:37.755,AC:23:3F:26:3E:F1,-81,127,0.5,0.5,1.5
1757927437917,2025-09-15 18:10:37.917,AC:23:3F:26:3E:F1,-86,127,0.5,0.5,1.5
1757927438408,2025-09-15 18:10:38.408,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927438429,2025-09-15 18:10:38.429,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927438461,2025-09-15 18:10:38.461,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927439118,2025-09-15 18:10:39.118,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927439878,2025-09-15 18:10:39.878,AC:23:3F:26:3E:F1,-72,127,0.5,0.5,1.5
1757927440550,2025-09-15 18:10:40.550,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927440572,2025-09-15 18:10:40.572,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927440593,2025-09-15 18:10:40.593,AC:23:3F:26:3E:F1,-76,127,0.5,0.5,1.5
1757927441258,2025-09-15 18:10:41.258,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927441270,2025-09-15 18:10:41.270,AC:23:3F:26:3E:F1,-92,127,0.5,0.5,1.5
1757927441293,2025-09-15 18:10:41.293,AC:23:3F:26:3E:F1,-87,127,0.5,0.5,1.5
1757927441932,2025-09-15 18:10:41.932,AC:23:3F:26:3E:F1,-92,127,0.5,0.5,1.5
1757927441974,2025-09-15 18:10:41.974,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927442001,2025-09-15 18:10:42.001,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927442024,2025-09-15 18:10:42.024,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927442683,2025-09-15 18:10:42.683,AC:23:3F:26:3E:F1,-76,127,0.5,0.5,1.5
1757927442704,2025-09-15 18:10:42.704,AC:23:3F:26:3E:F1,-76,127,0.5,0.5,1.5
1757927442729,2025-09-15 18:10:42.729,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927443409,2025-09-15 18:10:43.409,AC:23:3F:26:3E:F1,-82,127,0.5,0.5,1.5
1757927443418,2025-09-15 18:10:43.418,AC:23:3F:26:3E:F1,-83,127,0.5,0.5,1.5
1757927443445,2025-09-15 18:10:43.445,AC:23:3F:26:3E:F1,-83,127,0.5,0.5,1.5
1757927444116,2025-09-15 18:10:44.116,AC:23:3F:26:3E:F1,-71,127,0.5,0.5,1.5
1757927444144,2025-09-15 18:10:44.144,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927444828,2025-09-15 18:10:44.828,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927444841,2025-09-15 18:10:44.841,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927444858,2025-09-15 18:10:44.858,AC:23:3F:26:3E:F1,-76,127,0.5,0.5,1.5
1757927445537,2025-09-15 18:10:45.537,AC:23:3F:26:3E:F1,-82,127,0.5,0.5,1.5
1757927445565,2025-09-15 18:10:45.565,AC:23:3F:26:3E:F1,-71,127,0.5,0.5,1.5
1757927445593,2025-09-15 18:10:45.593,AC:23:3F:26:3E:F1,-72,127,0.5,0.5,1.5
1757927446251,2025-09-15 18:10:46.251,AC:23:3F:26:3E:F1,-71,127,0.5,0.5,1.5
1757927446271,2025-09-15 18:10:46.271,AC:23:3F:26:3E:F1,-78,127,0.5,0.5,1.5
1757927446289,2025-09-15 18:10:46.289,AC:23:3F:26:3E:F1,-78,127,0.5,0.5,1.5
1757927446967,2025-09-15 18:10:46.967,AC:23:3F:26:3E:F1,-82,127,0.5,0.5,1.5
1757927446986,2025-09-15 18:10:46.986,AC:23:3F:26:3E:F1,-81,127,0.5,0.5,1.5
1757927447012,2025-09-15 18:10:47.012,AC:23:3F:26:3E:F1,-79,127,0.5,0.5,1.5
1757927447677,2025-09-15 18:10:47.677,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927447696,2025-09-15 18:10:47.696,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927447713,2025-09-15 18:10:47.713,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927448392,2025-09-15 18:10:48.392,AC:23:3F:26:3E:F1,-71,127,0.5,0.5,1.5
1757927448437,2025-09-15 18:10:48.437,AC:23:3F:26:3E:F1,-72,127,0.5,0.5,1.5
1757927449103,2025-09-15 18:10:49.103,AC:23:3F:26:3E:F1,-83,127,0.5,0.5,1.5
1757927449126,2025-09-15 18:10:49.126,AC:23:3F:26:3E:F1,-86,127,0.5,0.5,1.5
1757927449807,2025-09-15 18:10:49.807,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927449832,2025-09-15 18:10:49.832,AC:23:3F:26:3E:F1,-77,127,0.5,0.5,1.5
1757927449852,2025-09-15 18:10:49.852,AC:23:3F:26:3E:F1,-78,127,0.5,0.5,1.5
1757927450555,2025-09-15 18:10:50.555,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927450568,2025-09-15 18:10:50.568,AC:23:3F:26:3E:F1,-79,127,0.5,0.5,1.5
1757927451245,2025-09-15 18:10:51.245,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927451270,2025-09-15 18:10:51.270,AC:23:3F:26:3E:F1,-76,127,0.5,0.5,1.5
1757927451291,2025-09-15 18:10:51.291,AC:23:3F:26:3E:F1,-69,127,0.5,0.5,1.5
1757927451955,2025-09-15 18:10:51.955,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927451976,2025-09-15 18:10:51.976,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927451997,2025-09-15 18:10:51.997,AC:23:3F:26:3E:F1,-77,127,0.5,0.5,1.5
1757927452669,2025-09-15 18:10:52.669,AC:23:3F:26:3E:F1,-80,127,0.5,0.5,1.5
1757927452696,2025-09-15 18:10:52.696,AC:23:3F:26:3E:F1,-84,127,0.5,0.5,1.5
1757927452725,2025-09-15 18:10:52.725,AC:23:3F:26:3E:F1,-80,127,0.5,0.5,1.5
1757927453379,2025-09-15 18:10:53.379,AC:23:3F:26:3E:F1,-72,127,0.5,0.5,1.5
1757927453400,2025-09-15 18:10:53.400,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927453424,2025-09-15 18:10:53.424,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927453974,2025-09-15 18:10:53.974,AC:23:3F:26:3E:F1,-84,127,0.5,0.5,1.5
1757927454094,2025-09-15 18:10:54.094,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927454105,2025-09-15 18:10:54.105,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927454123,2025-09-15 18:10:54.123,AC:23:3F:26:3E:F1,-76,127,0.5,0.5,1.5
1757927454803,2025-09-15 18:10:54.803,AC:23:3F:26:3E:F1,-78,127,0.5,0.5,1.5
1757927454829,2025-09-15 18:10:54.829,AC:23:3F:26:3E:F1,-83,127,0.5,0.5,1.5
1757927454844,2025-09-15 18:10:54.844,AC:23:3F:26:3E:F1,-80,127,0.5,0.5,1.5
1757927455515,2025-09-15 18:10:55.515,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927455539,2025-09-15 18:10:55.539,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927456235,2025-09-15 18:10:56.235,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927456255,2025-09-15 18:10:56.255,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927456271,2025-09-15 18:10:56.271,AC:23:3F:26:3E:F1,-81,127,0.5,0.5,1.5
1757927456949,2025-09-15 18:10:56.949,AC:23:3F:26:3E:F1,-80,127,0.5,0.5,1.5
1757927456970,2025-09-15 18:10:56.970,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927456983,2025-09-15 18:10:56.983,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927457657,2025-09-15 18:10:57.657,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927457684,2025-09-15 18:10:57.684,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927457691,2025-09-15 18:10:57.691,AC:23:3F:26:3E:F1,-75,127,0.5,0.5,1.5
1757927457982,2025-09-15 18:10:57.982,AC:23:3F:26:3E:F1,-86,127,0.5,0.5,1.5
1757927458368,2025-09-15 18:10:58.368,AC:23:3F:26:3E:F1,-81,127,0.5,0.5,1.5
1757927458396,2025-09-15 18:10:58.396,AC:23:3F:26:3E:F1,-80,127,0.5,0.5,1.5
