timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1757927437102,2025-09-15 18:10:37.102,68:9E:19:03:95:84,-92,127,0.5,0.5,1.5
1757927437253,2025-09-15 18:10:37.253,68:9E:19:03:95:F1,-85,127,0.5,0.5,1.5
1757927437307,2025-09-15 18:10:37.307,AC:23:3F:26:3E:F2,-70,127,0.5,0.5,1.5
1757927437371,2025-09-15 18:10:37.371,AC:23:3F:26:3E:EF,-77,127,0.5,0.5,1.5
1757927437421,2025-09-15 18:10:37.421,AC:23:3F:26:3E:EF,-75,127,0.5,0.5,1.5
1757927437426,2025-09-15 18:10:37.426,68:9E:19:03:95:84,-94,127,0.5,0.5,1.5
1757927437430,2025-09-15 18:10:37.430,68:9E:19:03:95:F1,-90,127,0.5,0.5,1.5
1757927437498,2025-09-15 18:10:37.498,AC:23:3F:26:3E:F2,-74,127,0.5,0.5,1.5
1757927437522,2025-09-15 18:10:37.522,68:9E:19:03:95:84,-83,127,0.5,0.5,1.5
1757927437529,2025-09-15 18:10:37.529,68:9E:19:03:95:F1,-74,127,0.5,0.5,1.5
1757927437544,2025-09-15 18:10:37.544,AC:23:3F:26:3E:F2,-72,127,0.5,0.5,1.5
1757927437628,2025-09-15 18:10:37.628,68:9E:19:03:95:84,-80,127,0.5,0.5,1.5
1757927437636,2025-09-15 18:10:37.636,68:9E:19:03:95:F1,-83,127,0.5,0.5,1.5
1757927437693,2025-09-15 18:10:37.693,AC:23:3F:26:3E:F1,-81,127,0.5,0.5,1.5
1757927437751,2025-09-15 18:10:37.751,68:9E:19:03:95:F1,-86,127,0.5,0.5,1.5
1757927437753,2025-09-15 18:10:37.753,AC:23:3F:26:3E:EF,-74,127,0.5,0.5,1.5
1757927437755,2025-09-15 18:10:37.755,AC:23:3F:26:3E:F1,-81,127,0.5,0.5,1.5
1757927437829,2025-09-15 18:10:37.829,68:9E:19:03:95:84,-84,127,0.5,0.5,1.5
1757927437853,2025-09-15 18:10:37.853,68:9E:19:03:95:F1,-72,127,0.5,0.5,1.5
1757927437858,2025-09-15 18:10:37.858,AC:23:3F:26:3E:F2,-74,127,0.5,0.5,1.5
1757927437907,2025-09-15 18:10:37.907,AC:23:3F:26:3E:EF,-73,127,0.5,0.5,1.5
1757927437917,2025-09-15 18:10:37.917,AC:23:3F:26:3E:F1,-86,127,0.5,0.5,1.5
1757927437949,2025-09-15 18:10:37.949,68:9E:19:03:95:F1,-83,127,0.5,0.5,1.5
1757927438037,2025-09-15 18:10:38.037,68:9E:19:03:95:84,-93,127,0.5,0.5,1.5
1757927438150,2025-09-15 18:10:38.150,68:9E:19:03:95:84,-80,127,0.5,0.5,1.5
1757927438157,2025-09-15 18:10:38.157,68:9E:19:03:95:F1,-74,127,0.5,0.5,1.5
1757927438204,2025-09-15 18:10:38.204,AC:23:3F:26:3E:F2,-75,127,0.5,0.5,1.5
1757927438250,2025-09-15 18:10:38.250,68:9E:19:03:95:84,-80,127,0.5,0.5,1.5
1757927438256,2025-09-15 18:10:38.256,AC:23:3F:26:3E:F2,-76,127,0.5,0.5,1.5
1757927438272,2025-09-15 18:10:38.272,68:9E:19:03:95:F1,-80,127,0.5,0.5,1.5
1757927438354,2025-09-15 18:10:38.354,68:9E:19:03:95:84,-90,127,0.5,0.5,1.5
1757927438364,2025-09-15 18:10:38.364,68:9E:19:03:95:F1,-96,127,0.5,0.5,1.5
1757927438408,2025-09-15 18:10:38.408,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927438429,2025-09-15 18:10:38.429,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927438436,2025-09-15 18:10:38.436,AC:23:3F:26:3E:EF,-82,127,0.5,0.5,1.5
1757927438456,2025-09-15 18:10:38.456,68:9E:19:03:95:84,-84,127,0.5,0.5,1.5
1757927438461,2025-09-15 18:10:38.461,AC:23:3F:26:3E:F1,-74,127,0.5,0.5,1.5
1757927438464,2025-09-15 18:10:38.464,68:9E:19:03:95:F1,-79,127,0.5,0.5,1.5
1757927438557,2025-09-15 18:10:38.557,AC:23:3F:26:3E:F2,-78,127,0.5,0.5,1.5
1757927438575,2025-09-15 18:10:38.575,68:9E:19:03:95:84,-90,127,0.5,0.5,1.5
1757927438618,2025-09-15 18:10:38.618,AC:23:3F:26:3E:EF,-74,127,0.5,0.5,1.5
1757927438638,2025-09-15 18:10:38.638,AC:23:3F:26:3E:EF,-72,127,0.5,0.5,1.5
1757927438664,2025-09-15 18:10:38.664,68:9E:19:03:95:F1,-76,127,0.5,0.5,1.5
1757927438671,2025-09-15 18:10:38.671,68:9E:19:03:95:84,-84,127,0.5,0.5,1.5
1757927438770,2025-09-15 18:10:38.770,68:9E:19:03:95:F1,-79,127,0.5,0.5,1.5
1757927438780,2025-09-15 18:10:38.780,68:9E:19:03:95:84,-78,127,0.5,0.5,1.5
1757927438874,2025-09-15 18:10:38.874,68:9E:19:03:95:84,-90,127,0.5,0.5,1.5
1757927438884,2025-09-15 18:10:38.884,68:9E:19:03:95:F1,-81,127,0.5,0.5,1.5
1757927438913,2025-09-15 18:10:38.913,AC:23:3F:26:3E:F2,-73,127,0.5,0.5,1.5
1757927438966,2025-09-15 18:10:38.966,AC:23:3F:26:3E:F2,-88,127,0.5,0.5,1.5
1757927438972,2025-09-15 18:10:38.972,68:9E:19:03:95:84,-84,127,0.5,0.5,1.5
1757927438982,2025-09-15 18:10:38.982,68:9E:19:03:95:F1,-74,127,0.5,0.5,1.5
1757927438989,2025-09-15 18:10:38.989,AC:23:3F:26:3E:F2,-75,127,0.5,0.5,1.5
1757927439086,2025-09-15 18:10:39.086,68:9E:19:03:95:84,-78,127,0.5,0.5,1.5
1757927439095,2025-09-15 18:10:39.095,68:9E:19:03:95:F1,-85,127,0.5,0.5,1.5
1757927439118,2025-09-15 18:10:39.118,AC:23:3F:26:3E:F1,-73,127,0.5,0.5,1.5
1757927439184,2025-09-15 18:10:39.184,68:9E:19:03:95:84,-92,127,0.5,0.5,1.5
1757927439202,2025-09-15 18:10:39.202,68:9E:19:03:95:F1,-81,127,0.5,0.5,1.5
1757927439257,2025-09-15 18:10:39.257,AC:23:3F:26:3E:F2,-78,127,0.5,0.5,1.5
1757927439284,2025-09-15 18:10:39.284,68:9E:19:03:95:84,-84,127,0.5,0.5,1.5
1757927439310,2025-09-15 18:10:39.310,68:9E:19:03:95:F1,-73,127,0.5,0.5,1.5
1757927439330,2025-09-15 18:10:39.330,AC:23:3F:26:3E:EF,-76,127,0.5,0.5,1.5
1757927439348,2025-09-15 18:10:39.348,AC:23:3F:26:3E:EF,-74,127,0.5,0.5,1.5
1757927439396,2025-09-15 18:10:39.396,68:9E:19:03:95:84,-80,127,0.5,0.5,1.5
1757927439416,2025-09-15 18:10:39.416,68:9E:19:03:95:F1,-86,127,0.5,0.5,1.5
1757927439504,2025-09-15 18:10:39.504,68:9E:19:03:95:84,-92,127,0.5,0.5,1.5
1757927439527,2025-09-15 18:10:39.527,68:9E:19:03:95:F1,-81,127,0.5,0.5,1.5
1757927439610,2025-09-15 18:10:39.610,68:9E:19:03:95:84,-83,127,0.5,0.5,1.5
1757927439675,2025-09-15 18:10:39.675,AC:23:3F:26:3E:F2,-87,127,0.5,0.5,1.5
1757927439711,2025-09-15 18:10:39.711,68:9E:19:03:95:84,-78,127,0.5,0.5,1.5
1757927439735,2025-09-15 18:10:39.735,68:9E:19:03:95:F1,-86,127,0.5,0.5,1.5
1757927439823,2025-09-15 18:10:39.823,68:9E:19:03:95:84,-93,127,0.5,0.5,1.5
1757927439842,2025-09-15 18:10:39.842,68:9E:19:03:95:F1,-84,127,0.5,0.5,1.5
1757927439847,2025-09-15 18:10:39.847,AC:23:3F:26:3E:EF,-79,127,0.5,0.5,1.5
1757927439878,2025-09-15 18:10:39.878,AC:23:3F:26:3E:F1,-72,127,0.5,0.5,1.5
