timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1758851499212,2025-09-26 10:51:39.212,68:9E:19:03:95:F1,-87,127,1.0,6.0,1.5
1758851499312,2025-09-26 10:51:39.312,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851499371,2025-09-26 10:51:39.371,68:9E:19:03:95:F1,-77,127,1.0,6.0,1.5
1758851499512,2025-09-26 10:51:39.512,68:9E:19:03:95:F1,-80,127,1.0,6.0,1.5
1758851499838,2025-09-26 10:51:39.838,68:9E:19:03:95:F1,-81,127,1.0,6.0,1.5
1758851500053,2025-09-26 10:51:40.053,68:9E:19:03:95:F1,-79,127,1.0,6.0,1.5
1758851500152,2025-09-26 10:51:40.152,68:9E:19:03:95:F1,-81,127,1.0,6.0,1.5
1758851500467,2025-09-26 10:51:40.467,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851500576,2025-09-26 10:51:40.576,68:9E:19:03:95:F1,-81,127,1.0,6.0,1.5
1758851500679,2025-09-26 10:51:40.679,68:9E:19:03:95:F1,-76,127,1.0,6.0,1.5
1758851500779,2025-09-26 10:51:40.779,68:9E:19:03:95:F1,-84,127,1.0,6.0,1.5
1758851500992,2025-09-26 10:51:40.992,68:9E:19:03:95:F1,-80,127,1.0,6.0,1.5
1758851501093,2025-09-26 10:51:41.093,68:9E:19:03:95:F1,-81,127,1.0,6.0,1.5
1758851501199,2025-09-26 10:51:41.199,68:9E:19:03:95:F1,-91,127,1.0,6.0,1.5
1758851501298,2025-09-26 10:51:41.298,68:9E:19:03:95:F1,-80,127,1.0,6.0,1.5
1758851501404,2025-09-26 10:51:41.404,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851501507,2025-09-26 10:51:41.507,68:9E:19:03:95:F1,-92,127,1.0,6.0,1.5
1758851501618,2025-09-26 10:51:41.618,68:9E:19:03:95:F1,-80,127,1.0,6.0,1.5
1758851501829,2025-09-26 10:51:41.829,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851501935,2025-09-26 10:51:41.935,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851502137,2025-09-26 10:51:42.137,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851502237,2025-09-26 10:51:42.237,68:9E:19:03:95:F1,-81,127,1.0,6.0,1.5
1758851502458,2025-09-26 10:51:42.458,68:9E:19:03:95:F1,-83,127,1.0,6.0,1.5
1758851502760,2025-09-26 10:51:42.760,68:9E:19:03:95:F1,-86,127,1.0,6.0,1.5
1758851502868,2025-09-26 10:51:42.868,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851503082,2025-09-26 10:51:43.082,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851503187,2025-09-26 10:51:43.187,68:9E:19:03:95:F1,-82,127,1.0,6.0,1.5
1758851503393,2025-09-26 10:51:43.393,68:9E:19:03:95:F1,-79,127,1.0,6.0,1.5
