timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1761793355794,2025-10-30 12:02:35.794,AC:23:3F:26:3E:F1,-74,127,0.19,4.2,1.5
1761793355973,2025-10-30 12:02:35.973,AC:23:3F:26:3E:F1,-79,127,0.19,4.2,1.5
1761793356081,2025-10-30 12:02:36.081,AC:23:3F:26:3E:F1,-76,127,0.19,4.2,1.5
1761793356513,2025-10-30 12:02:36.513,AC:23:3F:26:3E:F1,-89,127,0.19,4.2,1.5
1761793356680,2025-10-30 12:02:36.680,AC:23:3F:26:3E:F1,-77,127,0.19,4.2,1.5
1761793356797,2025-10-30 12:02:36.797,AC:23:3F:26:3E:F1,-79,127,0.19,4.2,1.5
1761793357225,2025-10-30 12:02:37.225,AC:23:3F:26:3E:F1,-84,127,0.19,4.2,1.5
1761793357393,2025-10-30 12:02:37.393,AC:23:3F:26:3E:F1,-79,127,0.19,4.2,1.5
1761793357504,2025-10-30 12:02:37.504,AC:23:3F:26:3E:F1,-90,127,0.19,4.2,1.5
1761793358085,2025-10-30 12:02:38.085,AC:23:3F:26:3E:F1,-85,127,0.19,4.2,1.5
1761793358652,2025-10-30 12:02:38.652,AC:23:3F:26:3E:F1,-80,127,0.19,4.2,1.5
1761793358799,2025-10-30 12:02:38.799,AC:23:3F:26:3E:F1,-76,127,0.19,4.2,1.5
1761793358901,2025-10-30 12:02:38.901,AC:23:3F:26:3E:F1,-93,127,0.19,4.2,1.5
1761793358935,2025-10-30 12:02:38.935,AC:23:3F:26:3E:F1,-80,127,0.19,4.2,1.5
1761793359372,2025-10-30 12:02:39.372,AC:23:3F:26:3E:F1,-76,127,0.19,4.2,1.5
1761793359641,2025-10-30 12:02:39.641,AC:23:3F:26:3E:F1,-85,127,0.19,4.2,1.5
1761793360086,2025-10-30 12:02:40.086,AC:23:3F:26:3E:F1,-80,127,0.19,4.2,1.5
1761793360207,2025-10-30 12:02:40.207,AC:23:3F:26:3E:F1,-86,127,0.19,4.2,1.5
1761793360362,2025-10-30 12:02:40.362,AC:23:3F:26:3E:F1,-76,127,0.19,4.2,1.5
1761793360796,2025-10-30 12:02:40.796,AC:23:3F:26:3E:F1,-85,127,0.19,4.2,1.5
1761793360905,2025-10-30 12:02:40.905,AC:23:3F:26:3E:F1,-75,127,0.19,4.2,1.5
1761793361511,2025-10-30 12:02:41.511,AC:23:3F:26:3E:F1,-74,127,0.19,4.2,1.5
1761793361613,2025-10-30 12:02:41.613,AC:23:3F:26:3E:F1,-79,127,0.19,4.2,1.5
1761793362232,2025-10-30 12:02:42.232,AC:23:3F:26:3E:F1,-82,127,0.19,4.2,1.5
1761793362327,2025-10-30 12:02:42.327,AC:23:3F:26:3E:F1,-72,127,0.19,4.2,1.5
1761793362502,2025-10-30 12:02:42.502,AC:23:3F:26:3E:F1,-81,127,0.19,4.2,1.5
