timestamp,time,mac_address,rssi,tx_power,aruco_pos_x,aruco_pos_y,aruco_pos_z,laser_pos_x,laser_pos_y,laser_pos_z
1762133268191,2025-11-03 10:27:48.191,68:9E:19:03:95:84,-76,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268402,2025-11-03 10:27:48.402,68:9E:19:03:95:84,-75,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268410,2025-11-03 10:27:48.410,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268419,2025-11-03 10:27:48.419,68:9E:19:03:95:84,-75,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268493,2025-11-03 10:27:48.493,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268505,2025-11-03 10:27:48.505,68:9E:19:03:95:84,-75,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268589,2025-11-03 10:27:48.589,68:9E:19:03:95:84,-75,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268692,2025-11-03 10:27:48.692,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268796,2025-11-03 10:27:48.796,68:9E:19:03:95:84,-76,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133268915,2025-11-03 10:27:48.915,68:9E:19:03:95:84,-74,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269017,2025-11-03 10:27:49.017,68:9E:19:03:95:84,-66,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269113,2025-11-03 10:27:49.113,68:9E:19:03:95:84,-78,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269219,2025-11-03 10:27:49.219,68:9E:19:03:95:84,-72,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269327,2025-11-03 10:27:49.327,68:9E:19:03:95:84,-69,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269424,2025-11-03 10:27:49.424,68:9E:19:03:95:84,-71,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269524,2025-11-03 10:27:49.524,68:9E:19:03:95:84,-71,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269630,2025-11-03 10:27:49.630,68:9E:19:03:95:84,-71,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269730,2025-11-03 10:27:49.730,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133269845,2025-11-03 10:27:49.845,68:9E:19:03:95:84,-72,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270159,2025-11-03 10:27:50.159,68:9E:19:03:95:84,-73,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270254,2025-11-03 10:27:50.254,68:9E:19:03:95:84,-72,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270357,2025-11-03 10:27:50.357,68:9E:19:03:95:84,-74,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270474,2025-11-03 10:27:50.474,68:9E:19:03:95:84,-72,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270566,2025-11-03 10:27:50.566,68:9E:19:03:95:84,-73,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270678,2025-11-03 10:27:50.678,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270778,2025-11-03 10:27:50.778,68:9E:19:03:95:84,-70,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133270981,2025-11-03 10:27:50.981,68:9E:19:03:95:84,-74,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133271190,2025-11-03 10:27:51.190,68:9E:19:03:95:84,-78,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133271292,2025-11-03 10:27:51.292,68:9E:19:03:95:84,-74,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133271408,2025-11-03 10:27:51.408,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133271605,2025-11-03 10:27:51.605,68:9E:19:03:95:84,-75,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133271710,2025-11-03 10:27:51.710,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133271813,2025-11-03 10:27:51.813,68:9E:19:03:95:84,-74,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133271914,2025-11-03 10:27:51.914,68:9E:19:03:95:84,-73,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272018,2025-11-03 10:27:52.018,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272125,2025-11-03 10:27:52.125,68:9E:19:03:95:84,-73,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272231,2025-11-03 10:27:52.231,68:9E:19:03:95:84,-73,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272347,2025-11-03 10:27:52.347,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272443,2025-11-03 10:27:52.443,68:9E:19:03:95:84,-74,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272555,2025-11-03 10:27:52.555,68:9E:19:03:95:84,-72,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272771,2025-11-03 10:27:52.771,68:9E:19:03:95:84,-76,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272877,2025-11-03 10:27:52.877,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133272987,2025-11-03 10:27:52.987,68:9E:19:03:95:84,-80,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133273073,2025-11-03 10:27:53.073,68:9E:19:03:95:84,-77,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133273192,2025-11-03 10:27:53.192,68:9E:19:03:95:84,-68,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133273290,2025-11-03 10:27:53.290,68:9E:19:03:95:84,-71,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
1762133273393,2025-11-03 10:27:53.393,68:9E:19:03:95:84,-72,127,0.3186217019795334,21.01346267569594,1.5037234246842648,0.24,21.0,1.5
