timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1761873253087,2025-10-31 10:14:13.087,68:9E:19:03:95:F1,-81,127,0.91,5.6,1.5
1761873253230,2025-10-31 10:14:13.230,68:9E:19:03:95:84,-93,127,0.91,5.6,1.5
1761873253292,2025-10-31 10:14:13.292,68:9E:19:03:95:84,-87,127,0.91,5.6,1.5
1761873253296,2025-10-31 10:14:13.296,AC:23:3F:26:3E:F2,-54,127,0.91,5.6,1.5
1761873253355,2025-10-31 10:14:13.355,68:9E:19:03:95:F1,-81,127,0.91,5.6,1.5
1761873253357,2025-10-31 10:14:13.357,AC:23:3F:26:3E:F1,-87,127,0.91,5.6,1.5
1761873253406,2025-10-31 10:14:13.406,68:9E:19:03:95:84,-80,127,0.91,5.6,1.5
1761873253419,2025-10-31 10:14:13.419,AC:23:3F:26:3E:F2,-57,127,0.91,5.6,1.5
1761873253421,2025-10-31 10:14:13.421,68:9E:19:03:95:F1,-82,127,0.91,5.6,1.5
1761873253463,2025-10-31 10:14:13.463,AC:23:3F:26:3E:F1,-85,127,0.91,5.6,1.5
1761873253485,2025-10-31 10:14:13.485,AC:23:3F:26:3E:EF,-60,127,0.91,5.6,1.5
1761873253573,2025-10-31 10:14:13.573,68:9E:19:03:95:F1,-79,127,0.91,5.6,1.5
1761873253576,2025-10-31 10:14:13.576,68:9E:19:03:95:84,-86,127,0.91,5.6,1.5
1761873253604,2025-10-31 10:14:13.604,AC:23:3F:26:3E:EF,-63,127,0.91,5.6,1.5
1761873253611,2025-10-31 10:14:13.611,68:9E:19:03:95:F1,-81,127,0.91,5.6,1.5
1761873253617,2025-10-31 10:14:13.617,AC:23:3F:26:3E:F2,-60,127,0.91,5.6,1.5
1761873253623,2025-10-31 10:14:13.623,AC:23:3F:26:3E:EF,-63,127,0.91,5.6,1.5
1761873253629,2025-10-31 10:14:13.629,AC:23:3F:26:3E:F1,-87,127,0.91,5.6,1.5
1761873253668,2025-10-31 10:14:13.668,68:9E:19:03:95:84,-81,127,0.91,5.6,1.5
1761873253718,2025-10-31 10:14:13.718,68:9E:19:03:95:F1,-82,127,0.91,5.6,1.5
1761873253772,2025-10-31 10:14:13.772,68:9E:19:03:95:84,-92,127,0.91,5.6,1.5
1761873253825,2025-10-31 10:14:13.825,68:9E:19:03:95:F1,-80,127,0.91,5.6,1.5
1761873253878,2025-10-31 10:14:13.878,68:9E:19:03:95:84,-80,127,0.91,5.6,1.5
1761873253916,2025-10-31 10:14:13.916,68:9E:19:03:95:F1,-81,127,0.91,5.6,1.5
1761873253977,2025-10-31 10:14:13.977,68:9E:19:03:95:84,-92,127,0.91,5.6,1.5
1761873254035,2025-10-31 10:14:14.035,68:9E:19:03:95:F1,-80,127,0.91,5.6,1.5
1761873254043,2025-10-31 10:14:14.043,AC:23:3F:26:3E:F1,-84,127,0.91,5.6,1.5
1761873254100,2025-10-31 10:14:14.100,68:9E:19:03:95:84,-85,127,0.91,5.6,1.5
1761873254114,2025-10-31 10:14:14.114,AC:23:3F:26:3E:F2,-55,127,0.91,5.6,1.5
1761873254177,2025-10-31 10:14:14.177,AC:23:3F:26:3E:F1,-86,127,0.91,5.6,1.5
1761873254185,2025-10-31 10:14:14.185,AC:23:3F:26:3E:EF,-62,127,0.91,5.6,1.5
1761873254202,2025-10-31 10:14:14.202,68:9E:19:03:95:84,-80,127,0.91,5.6,1.5
1761873254221,2025-10-31 10:14:14.221,68:9E:19:03:95:F1,-75,127,0.91,5.6,1.5
1761873254308,2025-10-31 10:14:14.308,68:9E:19:03:95:84,-89,127,0.91,5.6,1.5
