timestamp,time,mac_address,rssi,tx_power,pos_x,pos_y,pos_z
1761876584001,2025-10-31 11:09:44.001,68:9E:19:03:95:84,-75,127,0.42,11.2,1.5
1761876584231,2025-10-31 11:09:44.231,68:9E:19:03:95:84,-79,127,0.42,11.2,1.5
1761876584280,2025-10-31 11:09:44.280,68:9E:19:03:95:84,-89,127,0.42,11.2,1.5
1761876584320,2025-10-31 11:09:44.320,68:9E:19:03:95:84,-75,127,0.42,11.2,1.5
1761876584497,2025-10-31 11:09:44.497,68:9E:19:03:95:84,-80,127,0.42,11.2,1.5
1761876584747,2025-10-31 11:09:44.747,68:9E:19:03:95:84,-79,127,0.42,11.2,1.5
1761876584851,2025-10-31 11:09:44.851,68:9E:19:03:95:84,-91,127,0.42,11.2,1.5
1761876584968,2025-10-31 11:09:44.968,68:9E:19:03:95:84,-74,127,0.42,11.2,1.5
1761876585054,2025-10-31 11:09:45.054,68:9E:19:03:95:84,-78,127,0.42,11.2,1.5
1761876585161,2025-10-31 11:09:45.161,68:9E:19:03:95:84,-88,127,0.42,11.2,1.5
1761876585383,2025-10-31 11:09:45.383,68:9E:19:03:95:84,-76,127,0.42,11.2,1.5
1761876585481,2025-10-31 11:09:45.481,68:9E:19:03:95:84,-78,127,0.42,11.2,1.5
1761876585586,2025-10-31 11:09:45.586,68:9E:19:03:95:84,-75,127,0.42,11.2,1.5
1761876585689,2025-10-31 11:09:45.689,68:9E:19:03:95:84,-84,127,0.42,11.2,1.5
1761876585795,2025-10-31 11:09:45.795,68:9E:19:03:95:84,-76,127,0.42,11.2,1.5
1761876586018,2025-10-31 11:09:46.018,68:9E:19:03:95:84,-84,127,0.42,11.2,1.5
1761876586123,2025-10-31 11:09:46.123,68:9E:19:03:95:84,-75,127,0.42,11.2,1.5
1761876586217,2025-10-31 11:09:46.217,68:9E:19:03:95:84,-76,127,0.42,11.2,1.5
1761876586321,2025-10-31 11:09:46.321,68:9E:19:03:95:84,-83,127,0.42,11.2,1.5
1761876586429,2025-10-31 11:09:46.429,68:9E:19:03:95:84,-75,127,0.42,11.2,1.5
1761876586530,2025-10-31 11:09:46.530,68:9E:19:03:95:84,-76,127,0.42,11.2,1.5
1761876586642,2025-10-31 11:09:46.642,68:9E:19:03:95:84,-85,127,0.42,11.2,1.5
1761876586745,2025-10-31 11:09:46.745,68:9E:19:03:95:84,-75,127,0.42,11.2,1.5
1761876586850,2025-10-31 11:09:46.850,68:9E:19:03:95:84,-75,127,0.42,11.2,1.5
1761876586958,2025-10-31 11:09:46.958,68:9E:19:03:95:84,-87,127,0.42,11.2,1.5
1761876587055,2025-10-31 11:09:47.055,68:9E:19:03:95:84,-76,127,0.42,11.2,1.5
1761876587159,2025-10-31 11:09:47.159,68:9E:19:03:95:84,-77,127,0.42,11.2,1.5
1761876587581,2025-10-31 11:09:47.581,68:9E:19:03:95:84,-86,127,0.42,11.2,1.5
