id,marker_type,size,max_distance,position,position/x,position/y,position/z,rotation/roll,rotation/pitch,rotation/yaw,comment
30,A2,"0,385",25,POS1,"0,734","-0,13","1,58",90,0,180,POS1 - A2 marker on the metallic emergency exit door
2,A3,"0,273",20,POS1,"0,785","-0,13","1,181",90,0,180,POS1 - A3 marker on the metallic emergency exit door
21,A4,"0,173",10,POS1,"0,53","-0,13","1,204",90,0,180,POS1 - A4 marker on the metallic emergency exit door
37,A2,"0,385",25,POS2,"2,016","23,77","1,116",90,0,-90,POS2 - A2 marker on the firewall metallic door
4,A3,"0,273",20,POS2,"2,016","23,3","1,178",90,0,-90,POS2 - A3 marker on the firewall metallic door
22,A4,"0,173",10,POS2,"2,016","23,776","1,529",90,0,-90,POS2 - A4 marker on the firewall metallic door
38,A2,"0,385",25,POS4,"2,021","19,164","1,467",90,0,-90,POS4 - A2 marker
8,A3,"0,273",20,POS4,"2,021","18,808","1,532",90,0,-90,POS4 - A3 marker
29,A4,"0,173",10,POS4,"2,021","18,844","1,154",90,0,-90,POS4 - A4 marker
36,A2,"0,385",25,POS6,"2,024","14,42","1,451",90,0,-90,POS6 - A2 marker
18,A3,"0,273",20,POS6,"2,024","14,063","1,517",90,0,-90,POS6 - A3 marker
20,A4,"0,173",10,POS6,"2,024","14,098","1,143",90,0,-90,POS6 - A4 marker
39,A2,"0,385",25,POS8,"2,018","10,301","1,478",90,0,-90,POS8 - A2 marker
16,A3,"0,273",20,POS8,"2,018","9,945","1,546",90,0,-90,POS8 - A3 marker
17,A4,"0,173",10,POS8,"2,018","9,985","1,172",90,0,-90,POS8 - A4 marker
33,A2,"0,385",25,POS10,"2,018","5,383","1,415",90,0,-90,POS10 - A2 marker
0,A3,"0,273",20,POS10,"2,018","5,018","1,479",90,0,-90,POS10 - A3 marker
25,A4,"0,173",10,POS10,"2,018","5,062","1,103",90,0,-90,POS10 - A4 marker
6,A3,"0,273",20,POS3 ,0,"23,349","1,184",90,0,90,POS3 - A3 marker
23,A4,"0,173",10,POS3 ,0,"23,607","1,1236",90,0,90,POS3 - A4 marker
32,A2,"0,385",25,POS5 ,"0,01","17,387","1,678",90,0,90,POS5 - A2 marker
5,A3,"0,273",20,POS5 ,"0,01","17,24","1,254",90,0,90,POS5 - A3 marker
1,A4,"0,173",10,POS5 ,"0,01","17,502","1,305",90,0,90,POS5 - A4 marker
31,A2,"0,385",25,POS7 ,"0,01","14,673","1,686",90,0,90,POS7 - A2 marker
3,A3,"0,273",20,POS7 ,"0,01","14,535","1,267",90,0,90,POS7 - A3 marker
24,A4,"0,173",10,POS7 ,"0,01","14,798","1,318",90,0,90,POS7 - A4 marker
35,A2,"0,385",25,POS9 ,0,"9,846","1,447",90,0,90,POS9 - A2 marker
12,A3,"0,273",20,POS9 ,0,"10,203","1,517",90,0,90,POS9 - A3 marker
26,A4,"0,173",10,POS9 ,0,"10,165","1,143",90,0,90,POS9 - A4 marker
34,A2,"0,385",25,POS11,0,"6,351","1,453",90,0,90,POS11 - A2 marker
14,A3,"0,273",20,POS11,0,"6,719","1,527",90,0,90,POS11 - A3 marker
28,A4,"0,173",10,POS11,0,"6,679","1,148",90,0,90,POS11 - A4 marker
58,A4-2,"0,171",10,POS22,"2,03","22,49","1,16",90,0,-90,Support marker
42,A3-2,"0,265",20,POS22,"2,03","22,45","1,54",90,0,-90,Support marker
57,A4-2,"0,171",10,POS23,0,"19,84","1,62",90,0,90,Support marker
43,A3-2,"0,265",20,POS23,0,"20,1","1,56",90,0,90,Support marker
56,A4-2,"0,171",10,POS24,"2,02","16,66","1,6",90,0,-90,Support marker
44,A3-2,"0,265",20,POS24,"2,02","16,92","1,54",90,0,-90,Support marker
55,A4-2,"0,171",10,POS25,0,"13,04","1,6",90,0,90,Support marker
45,A3-2,"0,265",20,POS25,0,"12,78","1,54",90,0,90,Support marker
59,A4-2,"0,171",10,POS26,"2,02","12,91","1,548",90,0,-90,Support marker
41,A3-2,"0,265",20,POS26,"2,02","12,64","1,514",90,0,-90,Support marker
54,A4-2,"0,171",10,POS27,0,"7,88","1,562",90,0,90,Support marker
46,A3-2,"0,265",20,POS27,0,"8,145","1,5",90,0,90,Support marker
53,A4-2,"0,171",10,POS28,"2,015","7,834","1,175",90,0,-90,Support marker
47,A3-2,"0,265",20,POS28,"2,015","7,8","1,557",90,0,-90,Support marker
52,A4-2,"0,171",10,POS29,0,"2,27","1,232",90,0,90,Support marker
48,A3-2,"0,265",20,POS29,0,"2,3","1,61",90,0,90,Support marker
51,A4-2,"0,171",10,POS30,"2,02","2,393","1,243",90,0,-90,Support marker
49,A3-2,"0,265",20,POS30,"2,02","2,262","1,632",90,0,-90,Support marker
50,A4-2,"0,171",10,POS31,0,"0,293","1,164",90,0,90,Support marker
40,A3-2,"0,265",20,POS31,0,"0,33","1,563",90,0,90,Support marker
